Name,Tags
code,"hypertext, markup, language, codes, coded, coding, coder, dev, develop, developer, developers, program, programs, programming, programmer, programmers, instructions, render, rendering, computer, digital, online, web, website, webpage, HTML, CSS, JavaScript, Jquery, comms, communications, information, IT, tech, technology, processing"
coffee,"java, joe, refreshment, refreshments, beverage, beverages, drink, drinks, hot, iced, caffeine, caffeinated, cappuccino, espresso, brew, decaf, caf�, cafe, restaurant, stand, cart, roast, roasted, grind, ground, brew, brewed, breakfast, continental, complimentary"
collapse,"expand, open, close, control, controls, minus, -, section, accordion"
collapse-all,"expand, expand all, open, close, control, controls, minus, -, section, accordion"
compass,"instrument, device, navigate, navigation, point, pointer, north, south, east, west, direction, directions, find, way, wayfinding, orient, orientation, align, alignment"
computer,"compute, CPU, PC, Mac, laptop, desktop, tablet, responsive, web, online, digital, internet, electronic, device, store, storing, process, processing, data, binary, program, programs, programming, app, apps, application, applications, machine, operation, operations, tech, technology, IT"
connection,"connection,internet,broadband,cables,connector"
construction,"construct, constructing, build, builder, building, develop, development, under construction, dust, plan, planning, block, blocked, caution, warning, traffic, route, reroute, rerouting, redirect, redirecting, road, no parking, parking, pylon, cone, cones, safe, safety, hazard"
contact-us,"contacts, contacting, call, caller, calling, phone, telephone, telecom, telecommunications, communications, phonecall, ring, ringer, ringing, ringtone, buzz, bell, tinkle, sound, volume, speak, speaking, speakerphone, message, text, email, emails, letter, letters, mail, mailing"
contacts,"contact, connect, connection, connected, friend, family, coworker, colleague, acquaintance, address, addresses, address book, phone, number, numbers, info, information, details, communicate, communication, call, email, write"
copy,"copy,preserving,downloading,files,data,copy,duplicate,saving"
coronavirus,"COVID-19, COVID, corona, disease, threat, dangerous, harmful, health, emergency, humans, infectious, infect, contaminate, contamination, microorganism, bacteria, virus, vaccine, vaccination, booster, mask, masked, masking, mandate, distance, social distancing, 6 feet, cough, coughing, cover, symptoms, sick, sickness, ill, illness, public, wash, hands, sanitize, sanitizer, hospital, pandemic, epidemic, quarantine"
coughing,"COVID-19, COVID, coronavirus, corona, disease, threat, dangerous, harmful, health, emergency, humans, infectious, infect, contaminate, contamination, microorganism, bacteria, virus, vaccine, vaccination, booster, mask, masked, masking, mandate, distance, social distancing, 6 feet, cough, cover, symptoms, sick, sickness, ill, illness, public, wash, hands, sanitize, sanitizer, hospital, pandemic, epidemic, quarantine"
cover,"COVID-19, COVID, coronavirus, corona, disease, threat, dangerous, harmful, health, emergency, humans, infectious, infect, contaminate, contamination, microorganism, bacteria, virus, vaccine, vaccination, booster, mask, masked, masking, mandate, distance, social distancing, 6 feet, cough, coughing, symptoms, sick, sickness, ill, illness, public, wash, hands, sanitize, sanitizer, hospital, pandemic, epidemic, quarantine"
cruise-ship,"ships, boat, boats, yacht, yachts, canal, river, ocean, oceans, sea, seas, luxury, water, shore, coast, excursions, passenger, passengers, pleasure, vacation, port, sail, destination, travel"
cubes,"cube, cubed, cuboid, 3D, three-dimensional, dimensions, step, steps, shape, six, square, squares, geometry"
currency,"money, monies, dollar, dollars, cent, cents, cash, bill, bills, coin, coins, pay, payment, method, payee, calculate, note, legal, tender, finance, finances, tax, taxes"
cut,"cut,files,duplicate,save,scissors,copy,paste,data"
dam,"hydroelectric, water, supply, energy, clean energy, electric, electricity, block, barrier, structure, hold, reservoir, river, stream, flood, flooding, control, storage, drought"
danger,"exposure, jeopardy,  risk, threat, vulnerability, poison, toxic, contaminate, contamination, deadly, harmful, lethal, dangerous, danger zone, disease, harmful, polluted, skull, skeleton, unbreatheable, hazard, biohazard, gas, gas mask, warn, warning, exclamation, alert, attention"
delete,"annul, trash, trash can,  trash bin, destroy, desctruction, eliminate, wipe out, toss, clear, erase, exinguish, remove, garbage, garbage bin, recycle bin, dispose, disposal"
desktop-checklist,"computer, home computer, computer screen, screen, computer monitor, monitor, work station, desk, list, listing, menu, catalog, index, inventory, program, template, check box, to-do list, directory, poll, schedule, tally, playlist, list, checklists, lists, yes, correct, select, selected, complete, completed, finished, done, approved, choose, chosen"
desktop-video-module,"computer, home computer, computer screen, screen, computer monitor, monitor, work station, desk, recording, play, edit, video camera, video game, movie, display, video library, slideshow, playlist, movie, motion, motion graphic, edit"
dice,"pair of dice, roll the dice, throw of the dice, gamble, gambling, casino, casinos, dice games, bet, betting, wager, lottery, risk, chance, toss up,  game, gaming, slot machine, slot, slots, coin-operated, win, winning, winnings, lose, losing, addiction, addict, one-armed bandit, debt"
digging,"dig, construction, construction work, construction worker, roadwork, work, dirt, soil, foundation, labor, ground, shovel"
directions,"arrows, points, pointers, direct, directions, indicate, indicator, control"
discovercard,"credit, credit card, discover, discover credit, discover financial, discover bank, charge, charges, pay, payment, pin, pin number, account, account number, balance, bill, interest, debt, fees, approval, login, dispute, expiration date, discover card logo, discover logo, epay, e-pay, wallet, money, buy"
distance,"COVID-19, COVID, corona, disease, threat, dangerous, harmful, health, emergency, humans, infectious, infect, contaminate, contamination, microorganism, bacteria, virus, vaccine, vaccination, booster, mask, masked, masking, mandate, distance, social distancing, 6 feet, cough, coughing, cover, symptoms, sick, sickness, ill, illness, public, wash, hands, sanitize, sanitizer, hospital, pandemic, epidemic, quarantine, space, personal space, distant, gap, separate, separated, separation, apart, disconnected, divorce, divorced, divide, divided"
do-not-sign,"don't, avoid, prohibited, prohibited symbol, stop, circle slash, slash, clear, no, "
document,"doc, paper, file, form, certificate, page, description, article, text, draft, note, notice, assignment, Windows"
dot,"dot,period,bullet,point"
down,"point, points, pointer, indicate, indicator, direction, control, down"
down-left,"point, points, pointer, indicate, indicator, direction, control, down, left"
down-right,"point, points, pointer, indicate, indicator, direction, control, down, right"
download,"file, files, data, cloud download, downloading, app, point, points, pointer, indicate, indicator, direction, control, down"
download-cloud,"file, files, cloud, cloud data, data, cloud download, downloading, cloud server, cloud data, cloud storage, app, point, points, pointer, indicate, indicator, direction, control, down"
drag,"drag, drag indicator, cursor, arrows, directions, gesture, drop, drag and drop"
drawer,"inbox, tray, paper tray, desk drawer, bin, empty"
drive,"hard drive, drive, hardware, storage, data, files, external, external hard drive, portable, portable hard drive, computer hard drive"
ear,"listen, hear, hearing, heed, observe, quiet, noise, anatomy, ear ache, volume, noise control on, noise aware. earbuds, sound, surround sound, audio, audio on"
ear-slash,"do not listen, can not hear, hearing disabled, do not observe, be quiet, mute, volume off, noise control off, earbuds, audio off"
earthquake,"tremor, fault, movement, seismic wave, shake, tremble, disaster, disaster relief, aftershock"
electricity-hazard,"voltage, high voltage, danger, warning, electric shock, heat, flamable, electric current, electrical hazard"
email,"electronic message, online correspondence, send, reply, envelope, letter, mail, contact information, email address, outgoing, inbox, forward, subscribe, unscribe"
entertainment,"circus, circus tent, big top, carnival, carnival rides, fun, amusement park, state fair, county fair, festival, show"
envelope-checklist,"email confirmation, checkmark, mark, tick, tickmark, checklist, checklists, lists, yes, correct, select, selected, complete, completed, finished, done, approved, choose, chosen, electronic message, online correspondence, send, reply, envelope, letter, notice, mail, outgoing, inbox"
excel,"excel file, microsoft excel file, excel sheet, spreadsheet, spreadsheet software, excel logo"
expand,"add, plus sign, increase, more, positive, sum, total, open, open accordion, collapsible, dropdown, ui"
expand-all,"open, open accordion, collapsible, dropdown, ui"
external-link,"open, open link, website, warning, leave website, leaving website, navigation"
eye,"view, preview, reveal, focus, see, look, show, watch, viewpoint, visibility, eagle eye, eye chart, eye doctor, optometry, optometrist, opthamology, opthamologist, lens, anatomy"
eye-slash,"hide, do not show, disable view, visibility off, out of focus, "
facebook,"social, social media, contacts, friends, networking, facebook logo"
family,"clan, household, people, group, tribe, ancestry, child, children, generations, relatives, siblings, support, parents"
family-alt,"clan, household, people, group, tribe, ancestry, child, children, generations, relatives, siblings, support, parents, extended family, family fun, celebration, fun"
fastfood,"food, junk food, meal, burger, hamburger, soda, milkshake, drive-through, drive-thru, take-out"
favorite,"star, star rate, rate, rating, grade, class, brilliant, assessment, rank, score, popular, prize, choice, like, top"
features,"star, star rate, rate, rating, grade, class, brilliant, assessment, rank, score, popular, prize, choice, like, top, check, checkmark, yes, correct, select, selected, complete, completed, finished, done, approved, choose, chosen"
ferry,"commute, commuter, transportation, public transportation, boat, ferry boat, passage boat, ferry terminal, barge"
file,"data, information, paper, document, page, file format, format, file type"
file-audio,"audio, music, sound, phonic, mp3, mp4, wav, wav file, listen, recording"
file-certificate,"official document, page, select, winner, diploma, graduate, completed, certified, certification, award, ribbon, choice, prize, top, rank, grade, yes, approved, approved file, approval"
file-check,"data, information, document, page, file format, file type, check, checkmark, mark, tick, tickmark, checklist, checklists, lists, yes, correct, select, selected, complete, completed, finished, done, approved, choose, chosen, task"
file-code,"html, html file, developer, programmer, programming, code blocks, markup, markup elements, source code, tag"
file-csv,"csv, csv file, comma-separated values, file format, file type, text file, table structure format, tabular format"
file-download,"download file, file download, document, downloading, down"
file-excel,"excel file, microsoft excel file, excel sheet, spreadsheet, spreadsheet software, excel logo, delete file, ignore, avoid"
file-export,"export, send, send out, forward, transfer, transport, expedite, submit, put, file, data, information, document, page"
file-import,"import,data import, put, file, data, information, document, page"
file-invoice,"invoice, receipt, money, $, account balance, balance due, accounting, payment, calculate, finances, financial, quote, estimate, budget, statement, bill"
file-medical,"medical file, hospital, treatment, aid, medical records, medical service, health, health care, cross, first aid, documents, data, information, add file, plus, plus sign, increase, more, positive"
file-medical-alt,"monitor heart, heart rate, heartbeat, medical file, hospital, medical records, medical service, health, health care, first aid, documents, data, information"
file-pdf,"pdf, pdf file, portable document format, file format, file type, adobe acrobat logo"
file-powerpoint,"p, ppt, ppt file, microsoft powerpoint file, file format, file type, slides, slide show, presentation, presentation, training, template"
file-prescription,"rx, prescription, pharamacy, pills, drugs, aid, medicine, vaccine, treatment, medication, medical file, hospital, records, medical service, health, health care, documents, data, information"
file-upload,"upload file, file upload, document, uploading, up, transfer, send"
file-video,"video, video file, video cam, camera, record, recording, file format, format, file type"
